detIndex;capSecuencia;depTipoObjVer;depCodObjVer;depDesCambio;depJusCambio;depOrigen;depDestino;depCodProv;depDevInt
1;687;O;41134;GENERACION DE VISTAS;NULL;\\E3SIS017\PASESCMI\GENERACION;BASE JDE_PRODUCTION;NULL;NULL
1;688;O;41251;QUITA EL CONTRAINT DE LA TABLA TR_OPERATION, QUE IMPIDE REGISTRAR CORRECTAMENTE LA CARGA SUELTA. LA SOLUCION FUE PROPORCIONADA POR EL PROVEEDOR DE LA SOLUCION (EIKON);NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ALMACENTEMPORAL\T480 ERROR INGRESO CARGA SUELTA\EKSATSD001.SQL;SRBP00DB03;NULL;NULL
1;689;O;40431;CORRECCION DEL ERROR QUE SE MOSTRABA AL GENERAR LOS ARCHIVOS DE CLIENTES EN LA APLICACION. SE CORRIGIO LOS RECORSETS UTILIZADOS PARA OPTIMIZAR LA GENERACION Y SE CORRIGIO LOS QUERYS UTILIZADOS. TAMBIEN SE DESACTIVO LA LLAMADA AL OBJETO DE CRISTAL REPORT CUANDO SE EJECUTA ESTA OPCION, YA QUE TIENE UNA LIMITANTE EN EL NUMERO DE REGISTROS Y ERA UNA FUNCIONALIDAD QUE NO ESTABA SIENDO UTILIZADA.;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\MEDIOS MAGNÉTICOS\P9227\2009-10-6\GENERACIONTXT.EXE;\\EQUIPOUSUARIO\C:\MEDIOS MAGNETICOS;NULL;NULL
1;690;O;41254;SE AGREGA NUEVO CAMPO;NULL;DV812;PD812;NULL;NULL
1;691;O;41255;BASE DE DATOS DEL APLICATIVO, CONTIENE VARIOS OBJETOS COMO SP Y TABLAS QUE ESTAN LISTADOS EN LOS MANUALES ADJUNTOS;NULL;SRBP00PV00;SRBP00DB03;NULL;NULL
1;692;O;27955;MODIFICACION PARA LOS PRODUCTORES DE TIPO PY TAMBIEN REALICEN EGRESOS 45;NULL;DV812;PD812;NULL;NULL
1;695;O;41243;NULL;NULL;DV812;PD812;NULL;NULL
1;696;O;41260;NUEVO, GENERA UN LISTADO DE RETENCIONES;NULL;DV812;PD812;NULL;NULL
1;697;O;41262;NUEVO;NULL;DV812;PD812;NULL;NULL
1;698;O;41267;REPORTE NUEVO POR REQUERIMIENTO DEL SRI PARA PRESENTAR LIQUIDACIONES DE COMPRA;NULL;DV812;PD812;NULL;NULL
1;699;O;41272;AGREGAR 2 OPCIONES EN FRONT END;NULL;\\SRBP00AP03\PASEVERSION\PASE HECM-2009-0064;PC DEL USUARIO, CARPETA DEL REPORTEVTAS VB;NULL;NULL
